,Name,From,To,Pos,Ht,Wt,Birth Date,Age,Pic
adamsja01,Jaylen Adams,2019,2021,G,6-0,225.0,5/4/1996,25,https://www.basketball-reference.com/req/202106291/images/players/adamsja01.jpg
adamsst01,Steven Adams,2014,2022,C,6-11,265.0,7/20/1993,28,https://www.basketball-reference.com/req/202106291/images/players/adamsst01.jpg
adebaba01,Bam Adebayo,2018,2022,C-F,6-9,255.0,7/18/1997,24,https://www.basketball-reference.com/req/202106291/images/players/adebaba01.jpg
aldrila01,LaMarcus Aldridge,2007,2022,F-C,6-11,250.0,7/19/1985,36,https://www.basketball-reference.com/req/202106291/images/players/aldrila01.jpg
alexaky01,Kyle Alexander,2020,2020,F,6-11,220.0,10/21/1996,25,https://www.basketball-reference.com/req/202106291/images/players/alexaky01.jpg
alexani01,Nickeil Alexander-Walker,2020,2022,G,6-6,205.0,9/2/1998,23,https://www.basketball-reference.com/req/202106291/images/players/alexani01.jpg
allengr01,Grayson Allen,2019,2022,G,6-4,198.0,10/8/1995,26,https://www.basketball-reference.com/req/202106291/images/players/allengr01.jpg
allenja01,Jarrett Allen,2018,2022,C-F,6-11,243.0,4/21/1998,23,https://www.basketball-reference.com/req/202106291/images/players/allenja01.jpg
allenka01,Kadeem Allen,2018,2020,G,6-1,200.0,1/15/1993,28,https://www.basketball-reference.com/req/202106291/images/players/allenka01.jpg
aminual01,Al-Farouq Aminu,2011,2021,F,6-8,220.0,9/21/1990,31,https://www.basketball-reference.com/req/202106291/images/players/aminual01.jpg
anderju01,Justin Anderson,2016,2020,G,6-6,230.0,11/19/1993,28,https://www.basketball-reference.com/req/202106291/images/players/anderju01.jpg
anderky01,Kyle Anderson,2015,2022,F-G,6-9,230.0,9/20/1993,28,https://www.basketball-reference.com/req/202106291/images/players/anderky01.jpg
anderry01,Ryan Anderson,2009,2020,F,6-9,240.0,5/6/1988,33,https://www.basketball-reference.com/req/202106291/images/players/anderry01.jpg
antetgi01,Giannis Antetokounmpo,2014,2022,F-G,6-11,242.0,12/6/1994,26,https://www.basketball-reference.com/req/202106291/images/players/antetgi01.jpg
antetko01,Kostas Antetokounmpo,2019,2021,F,6-10,200.0,11/20/1997,24,https://www.basketball-reference.com/req/202106291/images/players/antetko01.jpg
antetth01,Thanasis Antetokounmpo,2016,2022,F,6-6,219.0,7/18/1992,29,https://www.basketball-reference.com/req/202106291/images/players/antetth01.jpg
anthoca01,Carmelo Anthony,2004,2022,F,6-7,238.0,5/29/1984,37,https://www.basketball-reference.com/req/202106291/images/players/anthoca01.jpg
anunoog01,OG Anunoby,2018,2022,F,6-7,232.0,7/17/1997,24,https://www.basketball-reference.com/req/202106291/images/players/anunoog01.jpg
arcidry01,Ryan Arcidiacono,2018,2021,G,6-3,195.0,3/26/1994,27,https://www.basketball-reference.com/req/202106291/images/players/arcidry01.jpg
arizatr01,Trevor Ariza,2005,2021,F,6-8,215.0,6/30/1985,36,https://www.basketball-reference.com/req/202106291/images/players/arizatr01.jpg
augusdj01,D.J. Augustin,2009,2022,G,5-11,183.0,11/10/1987,34,https://www.basketball-reference.com/req/202106291/images/players/augusdj01.jpg
aytonde01,Deandre Ayton,2019,2022,C,6-11,250.0,7/23/1998,23,https://www.basketball-reference.com/req/202106291/images/players/aytonde01.jpg
bacondw01,Dwayne Bacon,2018,2021,G,6-6,221.0,8/30/1995,26,https://www.basketball-reference.com/req/202106291/images/players/bacondw01.jpg
baglema01,Marvin Bagley,2019,2022,F-C,6-11,235.0,3/14/1999,22,https://www.basketball-reference.com/req/202106291/images/players/baglema01.jpg
balllo01,Lonzo Ball,2018,2022,G,6-6,190.0,10/27/1997,24,https://www.basketball-reference.com/req/202106291/images/players/balllo01.jpg
bambamo01,Mohamed Bamba,2019,2022,C,7-0,231.0,5/12/1998,23,https://www.basketball-reference.com/req/202106291/images/players/bambamo01.jpg
bareajo01,J.J. Barea,2007,2020,G,5-10,180.0,6/26/1984,37,https://www.basketball-reference.com/req/202106291/images/players/bareajo01.jpg
barneha02,Harrison Barnes,2013,2022,F,6-8,225.0,5/30/1992,29,https://www.basketball-reference.com/req/202106291/images/players/barneha02.jpg
barrerj01,RJ Barrett,2020,2022,G-F,6-6,214.0,6/14/2000,21,https://www.basketball-reference.com/req/202106291/images/players/barrerj01.jpg
bartowi01,Will Barton,2013,2022,G,6-6,181.0,1/6/1991,30,https://www.basketball-reference.com/req/202106291/images/players/bartowi01.jpg
bateske01,Keita Bates-Diop,2019,2022,F,6-8,229.0,1/23/1996,25,https://www.basketball-reference.com/req/202106291/images/players/bateske01.jpg
batumni01,Nicolas Batum,2009,2022,F-G,6-8,230.0,12/14/1988,32,https://www.basketball-reference.com/req/202106291/images/players/batumni01.jpg
baynear01,Aron Baynes,2013,2021,C,6-10,260.0,12/9/1986,34,https://www.basketball-reference.com/req/202106291/images/players/baynear01.jpg
bazemke01,Kent Bazemore,2013,2022,G-F,6-4,195.0,7/1/1989,32,https://www.basketball-reference.com/req/202106291/images/players/bazemke01.jpg
bazleda01,Darius Bazley,2020,2022,F,6-8,208.0,6/12/2000,21,https://www.basketball-reference.com/req/202106291/images/players/bazleda01.jpg
bealbr01,Bradley Beal,2013,2022,G,6-3,207.0,6/28/1993,28,https://www.basketball-reference.com/req/202106291/images/players/bealbr01.jpg
beaslma01,Malik Beasley,2017,2022,G,6-4,187.0,11/26/1996,25,https://www.basketball-reference.com/req/202106291/images/players/beaslma01.jpg
belinma01,Marco Belinelli,2008,2020,G-F,6-5,220.0,3/25/1986,35,https://www.basketball-reference.com/req/202106291/images/players/belinma01.jpg
belljo01,Jordan Bell,2018,2021,F,6-8,216.0,1/7/1995,26,https://www.basketball-reference.com/req/202106291/images/players/belljo01.jpg
bembrde01,DeAndre' Bembry,2017,2022,F,6-5,210.0,7/4/1994,27,https://www.basketball-reference.com/req/202106291/images/players/bembrde01.jpg
bendedr01,Dragan Bender,2017,2020,F,7-0,225.0,11/17/1997,24,https://www.basketball-reference.com/req/202106291/images/players/bendedr01.jpg
bertada01,Dāvis Bertāns,2017,2022,F,6-10,225.0,11/12/1992,29,https://www.basketball-reference.com/req/202106291/images/players/bertada01.jpg
beverpa01,Patrick Beverley,2013,2022,G,6-1,180.0,7/12/1988,33,https://www.basketball-reference.com/req/202106291/images/players/beverpa01.jpg
birchkh01,Khem Birch,2018,2022,C-F,6-9,233.0,9/28/1992,29,https://www.basketball-reference.com/req/202106291/images/players/birchkh01.jpg
bitadgo01,Goga Bitadze,2020,2022,C,6-11,250.0,7/20/1999,22,https://www.basketball-reference.com/req/202106291/images/players/bitadgo01.jpg
biyombi01,Bismack Biyombo,2012,2021,C-F,6-8,255.0,8/28/1992,29,https://www.basketball-reference.com/req/202106291/images/players/biyombi01.jpg
bjeline01,Nemanja Bjelica,2016,2022,F,6-10,234.0,5/9/1988,33,https://www.basketball-reference.com/req/202106291/images/players/bjeline01.jpg
bledser01,Eric Bledsoe,2011,2022,G,6-1,214.0,12/9/1989,31,https://www.basketball-reference.com/req/202106291/images/players/bledser01.jpg
bogdabo01,Bogdan Bogdanović,2018,2022,G,6-6,220.0,8/18/1992,29,https://www.basketball-reference.com/req/202106291/images/players/bogdabo01.jpg
bogdabo02,Bojan Bogdanović,2015,2022,G-F,6-7,226.0,4/18/1989,32,https://www.basketball-reference.com/req/202106291/images/players/bogdabo02.jpg
bolbo01,Bol Bol,2020,2022,F-C,7-2,220.0,11/16/1999,22,https://www.basketball-reference.com/req/202106291/images/players/bolbo01.jpg
boldejo01,Jonah Bolden,2019,2020,F,6-8,220.0,1/2/1996,25,https://www.basketball-reference.com/req/202106291/images/players/boldejo01.jpg
boldema01,Marques Bolden,2020,2021,C,6-10,249.0,4/17/1998,23,https://www.basketball-reference.com/req/202106291/images/players/boldema01.jpg
bonejo01,Jordan Bone,2020,2021,G,6-2,180.0,11/5/1997,24,https://www.basketball-reference.com/req/202106291/images/players/bonejo01.jpg
bongais01,Isaac Bonga,2019,2022,G,6-8,180.0,11/8/1999,22,https://www.basketball-reference.com/req/202106291/images/players/bongais01.jpg
bookede01,Devin Booker,2016,2022,G,6-5,206.0,10/30/1996,25,https://www.basketball-reference.com/req/202106291/images/players/bookede01.jpg
bouchch01,Chris Boucher,2018,2022,F,6-9,200.0,1/11/1993,28,https://www.basketball-reference.com/req/202106291/images/players/bouchch01.jpg
bowenbr02,Brian Bowen,2020,2021,F,6-6,190.0,10/2/1998,23,https://www.basketball-reference.com/req/202106291/images/players/bowenbr02.jpg
bowmaky01,Ky Bowman,2020,2020,G,6-1,187.0,6/16/1997,24,https://www.basketball-reference.com/req/202106291/images/players/bowmaky01.jpg
bradlav01,Avery Bradley,2011,2022,G,6-3,180.0,11/26/1990,31,https://www.basketball-reference.com/req/202106291/images/players/bradlav01.jpg
bradlto01,Tony Bradley,2018,2022,F-C,6-10,248.0,1/8/1998,23,https://www.basketball-reference.com/req/202106291/images/players/bradlto01.jpg
brantja01,Jarrell Brantley,2020,2021,F,6-5,250.0,6/7/1996,25,https://www.basketball-reference.com/req/202106291/images/players/brantja01.jpg
brazdig01,Ignas Brazdeikis,2020,2022,F,6-6,221.0,1/8/1999,22,https://www.basketball-reference.com/req/202106291/images/players/brazdig01.jpg
breweco01,Corey Brewer,2008,2020,F-G,6-9,186.0,3/5/1986,35,https://www.basketball-reference.com/req/202106291/images/players/breweco01.jpg
bridgmi01,Mikal Bridges,2019,2022,G,6-6,209.0,8/30/1996,25,https://www.basketball-reference.com/req/202106291/images/players/bridgmi01.jpg
bridgmi02,Miles Bridges,2019,2022,G-F,6-6,225.0,3/21/1998,23,https://www.basketball-reference.com/req/202106291/images/players/bridgmi02.jpg
brissos01,Oshae Brissett,2020,2022,F,6-7,210.0,6/20/1998,23,https://www.basketball-reference.com/req/202106291/images/players/brissos01.jpg
broekry01,Ryan Broekhoff,2019,2020,F,6-6,215.0,8/23/1990,31,https://www.basketball-reference.com/req/202106291/images/players/broekry01.jpg
brogdma01,Malcolm Brogdon,2017,2022,G,6-5,229.0,12/11/1992,28,https://www.basketball-reference.com/req/202106291/images/players/brogdma01.jpg
brookdi01,Dillon Brooks,2018,2022,F-G,6-7,225.0,1/22/1996,25,https://www.basketball-reference.com/req/202106291/images/players/brookdi01.jpg
brownbr01,Bruce Brown,2019,2022,G,6-4,202.0,8/15/1996,25,https://www.basketball-reference.com/req/202106291/images/players/brownbr01.jpg
brownch02,Charlie Brown,2020,2021,G,6-6,199.0,2/2/1997,24,https://www.basketball-reference.com/req/202106291/images/players/brownch02.jpg
brownja02,Jaylen Brown,2017,2022,F-G,6-6,223.0,10/24/1996,25,https://www.basketball-reference.com/req/202106291/images/players/brownja02.jpg
brownmo01,Moses Brown,2020,2022,C,7-2,245.0,10/13/1999,22,https://www.basketball-reference.com/req/202106291/images/players/brownmo01.jpg
brownst02,Sterling Brown,2018,2022,G,6-5,219.0,2/10/1995,26,https://www.basketball-reference.com/req/202106291/images/players/brownst02.jpg
browntr01,Troy Brown,2019,2022,G-F,6-6,215.0,7/28/1999,22,https://www.basketball-reference.com/req/202106291/images/players/browntr01.jpg
brunsja01,Jalen Brunson,2019,2022,G,6-1,190.0,8/31/1996,25,https://www.basketball-reference.com/req/202106291/images/players/brunsja01.jpg
bryanth01,Thomas Bryant,2018,2021,C,6-10,248.0,7/31/1997,24,https://www.basketball-reference.com/req/202106291/images/players/bryanth01.jpg
bullore01,Reggie Bullock,2014,2022,G-F,6-6,205.0,3/16/1991,30,https://www.basketball-reference.com/req/202106291/images/players/bullore01.jpg
burketr01,Trey Burke,2014,2022,G,6-0,185.0,11/12/1992,29,https://www.basketball-reference.com/req/202106291/images/players/burketr01.jpg
burksal01,Alec Burks,2012,2022,G,6-6,214.0,7/20/1991,30,https://www.basketball-reference.com/req/202106291/images/players/burksal01.jpg
burtode02,Deonte Burton,2019,2020,G,6-4,240.0,1/31/1994,27,https://www.basketball-reference.com/req/202106291/images/players/burtode02.jpg
butleji01,Jimmy Butler,2012,2022,F-G,6-7,230.0,9/14/1989,32,https://www.basketball-reference.com/req/202106291/images/players/butleji01.jpg
cabocbr01,Bruno Caboclo,2015,2021,F-C,6-9,218.0,9/21/1995,26,https://www.basketball-reference.com/req/202106291/images/players/cabocbr01.jpg
cacokde01,Devontae Cacok,2020,2021,F,6-7,240.0,10/8/1996,25,https://www.basketball-reference.com/req/202106291/images/players/cacokde01.jpg
caldwke01,Kentavious Caldwell-Pope,2014,2022,G,6-5,204.0,2/18/1993,28,https://www.basketball-reference.com/req/202106291/images/players/caldwke01.jpg
cancavl01,Vlatko Čančar,2020,2022,F,6-8,236.0,4/10/1997,24,https://www.basketball-reference.com/req/202106291/images/players/cancavl01.jpg
capelca01,Clint Capela,2015,2022,C,6-10,240.0,5/18/1994,27,https://www.basketball-reference.com/req/202106291/images/players/capelca01.jpg
carrode01,DeMarre Carroll,2010,2020,F,6-6,215.0,7/27/1986,35,https://www.basketball-reference.com/req/202106291/images/players/carrode01.jpg
carteje01,Jevon Carter,2019,2022,G,6-1,200.0,9/14/1995,26,https://www.basketball-reference.com/req/202106291/images/players/carteje01.jpg
cartevi01,Vince Carter,1999,2020,G-F,6-6,220.0,1/26/1977,44,https://www.basketball-reference.com/req/202106291/images/players/cartevi01.jpg
cartewe01,Wendell Carter,2019,2022,C,6-10,270.0,4/16/1999,22,https://www.basketball-reference.com/req/202106291/images/players/cartewe01.jpg
cartemi01,Michael Carter-Williams,2014,2021,G,6-5,190.0,10/10/1991,30,https://www.basketball-reference.com/req/202106291/images/players/cartemi01.jpg
carusal01,Alex Caruso,2018,2022,G,6-4,186.0,2/28/1994,27,https://www.basketball-reference.com/req/202106291/images/players/carusal01.jpg
caulewi01,Willie Cauley-Stein,2016,2022,F-C,7-0,240.0,8/18/1993,28,https://www.basketball-reference.com/req/202106291/images/players/caulewi01.jpg
chandty01,Tyson Chandler,2002,2020,C,7-0,235.0,10/2/1982,39,https://www.basketball-reference.com/req/202106291/images/players/chandty01.jpg
chandwi01,Wilson Chandler,2008,2020,F,6-8,235.0,5/10/1987,34,https://www.basketball-reference.com/req/202106291/images/players/chandwi01.jpg
chealjo01,Joe Chealey,2019,2020,G,6-3,190.0,11/1/1995,26,https://www.basketball-reference.com/req/202106291/images/players/chealjo01.jpg
cheatzy01,Zylan Cheatham,2020,2020,F,6-5,220.0,11/17/1995,26,https://www.basketball-reference.com/req/202106291/images/players/cheatzy01.jpg
chiozch01,Chris Chiozza,2019,2022,G,5-11,175.0,11/21/1995,26,https://www.basketball-reference.com/req/202106291/images/players/chiozch01.jpg
chrisma01,Marquese Chriss,2017,2021,F,6-9,240.0,7/2/1997,24,https://www.basketball-reference.com/req/202106291/images/players/chrisma01.jpg
clarkga01,Gary Clark,2019,2021,F,6-6,225.0,11/16/1994,27,https://www.basketball-reference.com/req/202106291/images/players/clarkga01.jpg
clarkbr01,Brandon Clarke,2020,2022,F,6-8,215.0,9/19/1996,25,https://www.basketball-reference.com/req/202106291/images/players/clarkbr01.jpg
clarkjo01,Jordan Clarkson,2015,2022,G,6-4,194.0,6/7/1992,29,https://www.basketball-reference.com/req/202106291/images/players/clarkjo01.jpg
claxtni01,Nicolas Claxton,2020,2022,F,6-11,215.0,4/17/1999,22,https://www.basketball-reference.com/req/202106291/images/players/claxtni01.jpg
clemoch01,Chris Clemons,2020,2020,G,5-9,180.0,7/23/1997,24,https://www.basketball-reference.com/req/202106291/images/players/clemoch01.jpg
clevean01,Antonius Cleveland,2018,2020,G,6-5,195.0,2/2/1994,27,https://www.basketball-reference.com/req/202106291/images/players/clevean01.jpg
coffeam01,Amir Coffey,2020,2022,G,6-7,210.0,6/17/1997,24,https://www.basketball-reference.com/req/202106291/images/players/coffeam01.jpg
collijo01,John Collins,2018,2022,F,6-9,235.0,9/23/1997,24,https://www.basketball-reference.com/req/202106291/images/players/collijo01.jpg
colliza01,Zach Collins,2018,2020,C-F,6-11,250.0,11/19/1997,24,https://www.basketball-reference.com/req/202106291/images/players/colliza01.jpg
conlemi01,Mike Conley,2008,2022,G,6-1,175.0,10/11/1987,34,https://www.basketball-reference.com/req/202106291/images/players/conlemi01.jpg
connapa01,Pat Connaughton,2016,2022,G,6-5,209.0,1/6/1993,28,https://www.basketball-reference.com/req/202106291/images/players/connapa01.jpg
cookqu01,Quinn Cook,2017,2021,G,6-1,180.0,3/23/1993,28,https://www.basketball-reference.com/req/202106291/images/players/cookqu01.jpg
cookty01,Tyler Cook,2020,2022,F,6-8,255.0,9/23/1997,24,https://www.basketball-reference.com/req/202106291/images/players/cookty01.jpg
covinro01,Robert Covington,2014,2022,F-C,6-7,209.0,12/14/1990,30,https://www.basketball-reference.com/req/202106291/images/players/covinro01.jpg
crabbal01,Allen Crabbe,2014,2020,G-F,6-5,212.0,4/9/1992,29,https://www.basketball-reference.com/req/202106291/images/players/crabbal01.jpg
craigto01,Torrey Craig,2018,2022,G-F,6-7,221.0,12/19/1990,30,https://www.basketball-reference.com/req/202106291/images/players/craigto01.jpg
crawfja01,Jamal Crawford,2001,2020,G,6-5,185.0,3/20/1980,41,https://www.basketball-reference.com/req/202106291/images/players/crawfja01.jpg
crowdja01,Jae Crowder,2013,2022,F,6-6,235.0,7/6/1990,31,https://www.basketball-reference.com/req/202106291/images/players/crowdja01.jpg
culveja01,Jarrett Culver,2020,2022,G,6-6,195.0,2/20/1999,22,https://www.basketball-reference.com/req/202106291/images/players/culveja01.jpg
curryse01,Seth Curry,2014,2022,G,6-2,185.0,8/23/1990,31,https://www.basketball-reference.com/req/202106291/images/players/curryse01.jpg
curryst01,Stephen Curry,2010,2022,G,6-2,185.0,3/14/1988,33,https://www.basketball-reference.com/req/202106291/images/players/curryst01.jpg
danietr01,Troy Daniels,2014,2020,G,6-4,200.0,7/15/1991,30,https://www.basketball-reference.com/req/202106291/images/players/danietr01.jpg
davisan02,Anthony Davis,2013,2022,F-C,6-10,253.0,3/11/1993,28,https://www.basketball-reference.com/req/202106291/images/players/davisan02.jpg
davised01,Ed Davis,2011,2022,F,6-9,218.0,6/5/1989,32,https://www.basketball-reference.com/req/202106291/images/players/davised01.jpg
daviste02,Terence Davis,2020,2022,G,6-4,201.0,5/16/1997,24,https://www.basketball-reference.com/req/202106291/images/players/daviste02.jpg
derozde01,DeMar DeRozan,2010,2022,G-F,6-6,220.0,8/7/1989,32,https://www.basketball-reference.com/req/202106291/images/players/derozde01.jpg
dedmode01,Dewayne Dedmon,2014,2022,C,7-0,245.0,8/12/1989,32,https://www.basketball-reference.com/req/202106291/images/players/dedmode01.jpg
dellama01,Matthew Dellavedova,2014,2021,G,6-3,200.0,9/8/1990,31,https://www.basketball-reference.com/req/202106291/images/players/dellama01.jpg
divindo01,Donte DiVincenzo,2019,2021,G,6-4,203.0,1/31/1997,24,https://www.basketball-reference.com/req/202106291/images/players/divindo01.jpg
diallch01,Cheick Diallo,2017,2020,F,6-8,219.0,9/13/1996,25,https://www.basketball-reference.com/req/202106291/images/players/diallch01.jpg
diallha01,Hamidou Diallo,2019,2022,G,6-5,202.0,7/31/1998,23,https://www.basketball-reference.com/req/202106291/images/players/diallha01.jpg
dienggo01,Gorgui Dieng,2014,2022,C,6-10,252.0,1/18/1990,31,https://www.basketball-reference.com/req/202106291/images/players/dienggo01.jpg
dinwisp01,Spencer Dinwiddie,2015,2022,G,6-5,215.0,4/6/1993,28,https://www.basketball-reference.com/req/202106291/images/players/dinwisp01.jpg
doncilu01,Luka Dončić,2019,2022,G-F,6-7,230.0,2/28/1999,22,https://www.basketball-reference.com/req/202106291/images/players/doncilu01.jpg
dortlu01,Luguentz Dort,2020,2022,G,6-3,215.0,4/19/1999,22,https://www.basketball-reference.com/req/202106291/images/players/dortlu01.jpg
dotsoda01,Damyean Dotson,2018,2021,G,6-5,210.0,5/6/1994,27,https://www.basketball-reference.com/req/202106291/images/players/dotsoda01.jpg
doumbse01,Sekou Doumbouya,2020,2022,F,6-8,230.0,12/23/2000,20,https://www.basketball-reference.com/req/202106291/images/players/doumbse01.jpg
doziepj01,PJ Dozier,2018,2022,G,6-6,205.0,10/25/1996,25,https://www.basketball-reference.com/req/202106291/images/players/doziepj01.jpg
dragigo01,Goran Dragić,2009,2022,G,6-3,190.0,5/6/1986,35,https://www.basketball-reference.com/req/202106291/images/players/dragigo01.jpg
drumman01,Andre Drummond,2013,2022,C,6-10,279.0,8/10/1993,28,https://www.basketball-reference.com/req/202106291/images/players/drumman01.jpg
dudleja01,Jared Dudley,2008,2021,F-G,6-6,237.0,7/10/1985,36,https://www.basketball-reference.com/req/202106291/images/players/dudleja01.jpg
dunnkr01,Kris Dunn,2017,2021,G,6-3,205.0,3/18/1994,27,https://www.basketball-reference.com/req/202106291/images/players/dunnkr01.jpg
edwarca01,Carsen Edwards,2020,2021,G,5-11,200.0,3/12/1998,23,https://www.basketball-reference.com/req/202106291/images/players/edwarca01.jpg
ellenhe01,Henry Ellenson,2017,2021,F,6-10,240.0,1/13/1997,24,https://www.basketball-reference.com/req/202106291/images/players/ellenhe01.jpg
ellinwa01,Wayne Ellington,2010,2022,G,6-4,207.0,11/29/1987,34,https://www.basketball-reference.com/req/202106291/images/players/ellinwa01.jpg
embiijo01,Joel Embiid,2017,2022,C,7-0,280.0,3/16/1994,27,https://www.basketball-reference.com/req/202106291/images/players/embiijo01.jpg
ennisja01,James Ennis,2015,2021,F,6-6,215.0,7/1/1990,31,https://www.basketball-reference.com/req/202106291/images/players/ennisja01.jpg
eubandr01,Drew Eubanks,2019,2022,F,6-9,245.0,2/1/1997,24,https://www.basketball-reference.com/req/202106291/images/players/eubandr01.jpg
evansja02,Jacob Evans,2019,2020,G-F,6-4,210.0,6/18/1997,24,https://www.basketball-reference.com/req/202106291/images/players/evansja02.jpg
exumda01,Dante Exum,2015,2021,G,6-5,214.0,7/13/1995,26,https://www.basketball-reference.com/req/202106291/images/players/exumda01.jpg
fallta01,Tacko Fall,2020,2022,C,7-5,311.0,12/10/1995,25,https://www.basketball-reference.com/req/202106291/images/players/fallta01.jpg
favorde01,Derrick Favors,2011,2022,F-C,6-9,265.0,7/15/1991,30,https://www.basketball-reference.com/req/202106291/images/players/favorde01.jpg
feliccr01,Cristiano Felício,2016,2021,F-C,6-11,270.0,7/7/1992,29,https://www.basketball-reference.com/req/202106291/images/players/feliccr01.jpg
fergute01,Terrance Ferguson,2018,2021,G-F,6-6,190.0,5/17/1998,23,https://www.basketball-reference.com/req/202106291/images/players/fergute01.jpg
fernabr01,Bruno Fernando,2020,2022,F,6-9,240.0,8/15/1998,23,https://www.basketball-reference.com/req/202106291/images/players/fernabr01.jpg
ferreyo01,Yogi Ferrell,2017,2021,G,6-0,178.0,5/9/1993,28,https://www.basketball-reference.com/req/202106291/images/players/ferreyo01.jpg
finnedo01,Dorian Finney-Smith,2017,2022,F,6-7,220.0,5/4/1993,28,https://www.basketball-reference.com/req/202106291/images/players/finnedo01.jpg
forbebr01,Bryn Forbes,2017,2022,G,6-2,205.0,7/23/1993,28,https://www.basketball-reference.com/req/202106291/images/players/forbebr01.jpg
fournev01,Evan Fournier,2013,2022,G-F,6-7,205.0,10/29/1992,29,https://www.basketball-reference.com/req/202106291/images/players/fournev01.jpg
foxde01,De'Aaron Fox,2018,2022,G,6-3,185.0,12/20/1997,23,https://www.basketball-reference.com/req/202106291/images/players/foxde01.jpg
frazime01,Melvin Frazier,2019,2020,G,6-5,215.0,8/30/1996,25,https://www.basketball-reference.com/req/202106291/images/players/frazime01.jpg
frazimi01,Michael Frazier,2020,2020,G,6-3,200.0,3/8/1994,27,https://www.basketball-reference.com/req/202106291/images/players/frazimi01.jpg
fraziti01,Tim Frazier,2015,2021,G,6-0,170.0,11/1/1990,31,https://www.basketball-reference.com/req/202106291/images/players/fraziti01.jpg
fultzma01,Markelle Fultz,2018,2021,G,6-3,209.0,5/29/1998,23,https://www.basketball-reference.com/req/202106291/images/players/fultzma01.jpg
gabriwe01,Wenyen Gabriel,2020,2021,F,6-9,205.0,3/26/1997,24,https://www.basketball-reference.com/req/202106291/images/players/gabriwe01.jpg
gaffoda01,Daniel Gafford,2020,2022,F,6-10,234.0,10/1/1998,23,https://www.basketball-reference.com/req/202106291/images/players/gaffoda01.jpg
gallida01,Danilo Gallinari,2009,2022,F,6-10,233.0,8/8/1988,33,https://www.basketball-reference.com/req/202106291/images/players/gallida01.jpg
gallola01,Langston Galloway,2015,2021,G,6-1,200.0,12/9/1991,29,https://www.basketball-reference.com/req/202106291/images/players/gallola01.jpg
garlada01,Darius Garland,2020,2022,G,6-1,192.0,1/26/2000,21,https://www.basketball-reference.com/req/202106291/images/players/garlada01.jpg
gasolma01,Marc Gasol,2009,2021,C,6-11,255.0,1/29/1985,36,https://www.basketball-reference.com/req/202106291/images/players/gasolma01.jpg
gayru01,Rudy Gay,2007,2022,F,6-8,250.0,8/17/1986,35,https://www.basketball-reference.com/req/202106291/images/players/gayru01.jpg
georgpa01,Paul George,2011,2022,F,6-8,220.0,5/2/1990,31,https://www.basketball-reference.com/req/202106291/images/players/georgpa01.jpg
gibsota01,Taj Gibson,2010,2022,F,6-9,232.0,6/24/1985,36,https://www.basketball-reference.com/req/202106291/images/players/gibsota01.jpg
gilesha01,Harry Giles,2019,2021,F-C,6-11,240.0,4/22/1998,23,https://www.basketball-reference.com/req/202106291/images/players/gilesha01.jpg
