,Name,From,To,Pos,Ht,Wt,Birth Date,Age,Pic
morrima02,Markieff Morris,2012,2022,F,6-9,245.0,9/2/1989,32,https://www.basketball-reference.com/req/202106291/images/players/morrima02.jpg
morrimo01,Monte Morris,2018,2022,G,6-2,183.0,6/27/1995,26,https://www.basketball-reference.com/req/202106291/images/players/morrimo01.jpg
motlejo01,Johnathan Motley,2018,2020,F,6-8,230.0,5/4/1995,26,https://www.basketball-reference.com/req/202106291/images/players/motlejo01.jpg
mudiaem01,Emmanuel Mudiay,2016,2020,G,6-3,200.0,3/5/1996,25,https://www.basketball-reference.com/req/202106291/images/players/mudiaem01.jpg
muldemy01,Mychal Mulder,2020,2022,G-F,6-3,184.0,6/12/1994,27,https://www.basketball-reference.com/req/202106291/images/players/muldemy01.jpg
murrade01,Dejounte Murray,2017,2022,G,6-4,180.0,9/19/1996,25,https://www.basketball-reference.com/req/202106291/images/players/murrade01.jpg
murraja01,Jamal Murray,2017,2021,G,6-3,215.0,2/23/1997,24,https://www.basketball-reference.com/req/202106291/images/players/murraja01.jpg
musadz01,Džanan Musa,2019,2020,G-F,6-9,217.0,5/8/1999,22,https://www.basketball-reference.com/req/202106291/images/players/musadz01.jpg
muscami01,Mike Muscala,2014,2022,F-C,6-10,240.0,7/1/1991,30,https://www.basketball-reference.com/req/202106291/images/players/muscami01.jpg
mykhasv01,Svi Mykhailiuk,2019,2022,G-F,6-7,205.0,6/10/1997,24,https://www.basketball-reference.com/req/202106291/images/players/mykhasv01.jpg
naderab01,Abdel Nader,2018,2022,F,6-5,225.0,9/25/1993,28,https://www.basketball-reference.com/req/202106291/images/players/naderab01.jpg
nancela02,Larry Nance,2016,2022,F-C,6-7,245.0,1/1/1993,28,https://www.basketball-reference.com/req/202106291/images/players/nancela02.jpg
napiesh01,Shabazz Napier,2015,2020,G,6-0,175.0,7/14/1991,30,https://www.basketball-reference.com/req/202106291/images/players/napiesh01.jpg
netora01,Raul Neto,2016,2022,G,6-1,180.0,5/19/1992,29,https://www.basketball-reference.com/req/202106291/images/players/netora01.jpg
newmama01,Malik Newman,2020,2020,G,6-3,190.0,2/21/1997,24,https://www.basketball-reference.com/req/202106291/images/players/newmama01.jpg
niangge01,Georges Niang,2017,2022,F,6-7,230.0,6/17/1993,28,https://www.basketball-reference.com/req/202106291/images/players/niangge01.jpg
noahjo01,Joakim Noah,2008,2020,C,6-11,230.0,2/25/1985,36,https://www.basketball-reference.com/req/202106291/images/players/noahjo01.jpg
noelne01,Nerlens Noel,2015,2022,C-F,6-11,220.0,4/10/1994,27,https://www.basketball-reference.com/req/202106291/images/players/noelne01.jpg
norveza01,Zach Norvell,2020,2020,G,6-5,206.0,12/9/1997,23,https://www.basketball-reference.com/req/202106291/images/players/norveza01.jpg
nowelja01,Jaylen Nowell,2020,2022,G,6-4,201.0,7/9/1999,22,https://www.basketball-reference.com/req/202106291/images/players/nowelja01.jpg
ntilila01,Frank Ntilikina,2018,2022,G,6-4,200.0,7/28/1998,23,https://www.basketball-reference.com/req/202106291/images/players/ntilila01.jpg
nunnke01,Kendrick Nunn,2020,2021,G,6-2,190.0,8/3/1995,26,https://www.basketball-reference.com/req/202106291/images/players/nunnke01.jpg
nurkiju01,Jusuf Nurkić,2015,2022,C,6-11,290.0,8/23/1994,27,https://www.basketball-reference.com/req/202106291/images/players/nurkiju01.jpg
nwabada01,David Nwaba,2017,2022,G,6-5,219.0,1/14/1993,28,https://www.basketball-reference.com/req/202106291/images/players/nwabada01.jpg
onealro01,Royce O'Neale,2018,2022,F,6-4,226.0,6/5/1993,28,https://www.basketball-reference.com/req/202106291/images/players/onealro01.jpg
oquinky01,Kyle O'Quinn,2013,2020,F-C,6-9,250.0,3/26/1990,31,https://www.basketball-reference.com/req/202106291/images/players/oquinky01.jpg
ojelese01,Semi Ojeleye,2018,2022,F,6-6,240.0,12/5/1994,26,https://www.basketball-reference.com/req/202106291/images/players/ojelese01.jpg
okafoja01,Jahlil Okafor,2016,2021,C-F,6-10,270.0,12/15/1995,25,https://www.basketball-reference.com/req/202106291/images/players/okafoja01.jpg
okoboel01,Elie Okobo,2019,2020,G,6-3,190.0,10/23/1997,24,https://www.basketball-reference.com/req/202106291/images/players/okoboel01.jpg
okogijo01,Josh Okogie,2019,2022,G,6-4,213.0,9/1/1998,23,https://www.basketball-reference.com/req/202106291/images/players/okogijo01.jpg
okpalkz01,KZ Okpala,2020,2022,F,6-8,215.0,4/28/1999,22,https://www.basketball-reference.com/req/202106291/images/players/okpalkz01.jpg
oladivi01,Victor Oladipo,2014,2021,G,6-4,213.0,5/4/1992,29,https://www.basketball-reference.com/req/202106291/images/players/oladivi01.jpg
olynyke01,Kelly Olynyk,2014,2022,C-F,6-11,240.0,4/19/1991,30,https://www.basketball-reference.com/req/202106291/images/players/olynyke01.jpg
onimi01,Miye Oni,2020,2022,G,6-5,206.0,8/4/1997,24,https://www.basketball-reference.com/req/202106291/images/players/onimi01.jpg
osmande01,Cedi Osman,2018,2022,F,6-7,230.0,4/8/1995,26,https://www.basketball-reference.com/req/202106291/images/players/osmande01.jpg
oubreke01,Kelly Oubre,2016,2022,F,6-7,203.0,12/9/1995,25,https://www.basketball-reference.com/req/202106291/images/players/oubreke01.jpg
owensta01,Tariq Owens,2020,2020,F,6-10,205.0,6/30/1995,26,https://www.basketball-reference.com/req/202106291/images/players/owensta01.jpg
pargoje01,Jeremy Pargo,2012,2020,G,6-2,219.0,3/17/1986,35,https://www.basketball-reference.com/req/202106291/images/players/pargoje01.jpg
parkeja01,Jabari Parker,2015,2022,F,6-8,245.0,3/15/1995,26,https://www.basketball-reference.com/req/202106291/images/players/parkeja01.jpg
parsoch01,Chandler Parsons,2012,2020,F,6-9,230.0,10/25/1988,33,https://www.basketball-reference.com/req/202106291/images/players/parsoch01.jpg
pascher01,Eric Paschall,2020,2022,F,6-6,255.0,11/4/1996,25,https://www.basketball-reference.com/req/202106291/images/players/pascher01.jpg
pasecan01,Anžejs Pasečņiks,2020,2021,C,7-1,229.0,12/20/1995,25,https://www.basketball-reference.com/req/202106291/images/players/pasecan01.jpg
pattepa01,Patrick Patterson,2011,2021,F,6-8,235.0,3/14/1989,32,https://www.basketball-reference.com/req/202106291/images/players/pattepa01.jpg
pattoju01,Justin Patton,2018,2021,C,6-11,241.0,6/14/1997,24,https://www.basketball-reference.com/req/202106291/images/players/pattoju01.jpg
paulch01,Chris Paul,2006,2022,G,6-0,175.0,5/6/1985,36,https://www.basketball-reference.com/req/202106291/images/players/paulch01.jpg
payneca01,Cameron Payne,2016,2022,G,6-1,183.0,8/8/1994,27,https://www.basketball-reference.com/req/202106291/images/players/payneca01.jpg
paytoel01,Elfrid Payton,2015,2022,G,6-3,195.0,2/22/1994,27,https://www.basketball-reference.com/req/202106291/images/players/paytoel01.jpg
paytoga02,Gary Payton,2017,2022,G,6-3,190.0,12/1/1992,29,https://www.basketball-reference.com/req/202106291/images/players/paytoga02.jpg
pelleno01,Norvel Pelle,2020,2021,F-C,6-10,231.0,2/3/1993,28,https://www.basketball-reference.com/req/202106291/images/players/pelleno01.jpg
pinsoth01,Theo Pinson,2019,2021,G,6-5,212.0,11/5/1995,26,https://www.basketball-reference.com/req/202106291/images/players/pinsoth01.jpg
plumlma01,Mason Plumlee,2014,2022,C-F,6-11,254.0,3/5/1990,31,https://www.basketball-reference.com/req/202106291/images/players/plumlma01.jpg
poeltja01,Jakob Poeltl,2017,2022,C,7-1,245.0,10/15/1995,26,https://www.basketball-reference.com/req/202106291/images/players/poeltja01.jpg
poirivi01,Vincent Poirier,2020,2021,C,7-0,235.0,10/17/1993,28,https://www.basketball-reference.com/req/202106291/images/players/poirivi01.jpg
pondssh01,Shamorie Ponds,2020,2020,G,6-0,180.0,6/29/1998,23,https://www.basketball-reference.com/req/202106291/images/players/pondssh01.jpg
poolejo01,Jordan Poole,2020,2022,G,6-4,194.0,6/19/1999,22,https://www.basketball-reference.com/req/202106291/images/players/poolejo01.jpg
porteke02,Kevin Porter,2020,2022,G,6-4,203.0,5/4/2000,21,https://www.basketball-reference.com/req/202106291/images/players/porteke02.jpg
portemi01,Michael Porter,2020,2022,F,6-10,218.0,6/29/1998,23,https://www.basketball-reference.com/req/202106291/images/players/portemi01.jpg
porteot01,Otto Porter,2014,2022,F,6-8,198.0,6/3/1993,28,https://www.basketball-reference.com/req/202106291/images/players/porteot01.jpg
portibo01,Bobby Portis,2016,2022,F,6-10,250.0,2/10/1995,26,https://www.basketball-reference.com/req/202106291/images/players/portibo01.jpg
porzikr01,Kristaps Porziņģis,2016,2022,F-C,7-3,240.0,8/2/1995,26,https://www.basketball-reference.com/req/202106291/images/players/porzikr01.jpg
poweldw01,Dwight Powell,2015,2022,F-C,6-10,240.0,7/20/1991,30,https://www.basketball-reference.com/req/202106291/images/players/poweldw01.jpg
powelno01,Norman Powell,2016,2022,G,6-3,215.0,5/25/1993,28,https://www.basketball-reference.com/req/202106291/images/players/powelno01.jpg
princta02,Taurean Prince,2017,2022,F,6-7,218.0,3/22/1994,27,https://www.basketball-reference.com/req/202106291/images/players/princta02.jpg
randlch01,Chasson Randle,2017,2021,G,6-2,185.0,2/5/1993,28,https://www.basketball-reference.com/req/202106291/images/players/randlch01.jpg
randlju01,Julius Randle,2015,2022,F-C,6-8,250.0,11/29/1994,27,https://www.basketball-reference.com/req/202106291/images/players/randlju01.jpg
reavejo02,Josh Reaves,2020,2020,G,6-4,214.0,6/4/1997,24,https://www.basketball-reference.com/req/202106291/images/players/reavejo02.jpg
reddica01,Cam Reddish,2020,2022,F,6-8,218.0,9/1/1999,22,https://www.basketball-reference.com/req/202106291/images/players/reddica01.jpg
redicjj01,J.J. Redick,2007,2021,G,6-3,200.0,6/24/1984,37,https://www.basketball-reference.com/req/202106291/images/players/redicjj01.jpg
reidna01,Naz Reid,2020,2022,F,6-9,264.0,8/26/1999,22,https://www.basketball-reference.com/req/202106291/images/players/reidna01.jpg
richajo01,Josh Richardson,2016,2022,G,6-5,200.0,9/15/1993,28,https://www.basketball-reference.com/req/202106291/images/players/richajo01.jpg
riverau01,Austin Rivers,2013,2022,G,6-4,200.0,8/1/1992,29,https://www.basketball-reference.com/req/202106291/images/players/riverau01.jpg
roberan03,Andre Roberson,2014,2021,G-F,6-7,210.0,12/4/1991,30,https://www.basketball-reference.com/req/202106291/images/players/roberan03.jpg
robindu01,Duncan Robinson,2019,2022,G-F,6-7,215.0,4/22/1994,27,https://www.basketball-reference.com/req/202106291/images/players/robindu01.jpg
robingl02,Glenn Robinson,2015,2021,G-F,6-6,222.0,1/8/1994,27,https://www.basketball-reference.com/req/202106291/images/players/robingl02.jpg
robinje01,Jerome Robinson,2019,2021,G,6-4,190.0,2/22/1997,24,https://www.basketball-reference.com/req/202106291/images/players/robinje01.jpg
robinju01,Justin Robinson,2020,2022,G,6-1,195.0,10/12/1997,24,https://www.basketball-reference.com/req/202106291/images/players/robinju01.jpg
robinmi01,Mitchell Robinson,2019,2022,C,7-0,240.0,4/1/1998,23,https://www.basketball-reference.com/req/202106291/images/players/robinmi01.jpg
robyis01,Isaiah Roby,2020,2022,F,6-8,230.0,2/3/1998,23,https://www.basketball-reference.com/req/202106291/images/players/robyis01.jpg
rondora01,Rajon Rondo,2007,2022,G,6-1,180.0,2/22/1986,35,https://www.basketball-reference.com/req/202106291/images/players/rondora01.jpg
rosede01,Derrick Rose,2009,2022,G,6-2,200.0,10/4/1988,33,https://www.basketball-reference.com/req/202106291/images/players/rosede01.jpg
rosste01,Terrence Ross,2013,2022,F-G,6-6,206.0,2/5/1991,30,https://www.basketball-reference.com/req/202106291/images/players/rosste01.jpg
roziete01,Terry Rozier,2016,2022,G,6-1,190.0,3/17/1994,27,https://www.basketball-reference.com/req/202106291/images/players/roziete01.jpg
rubiori01,Ricky Rubio,2012,2022,G,6-2,190.0,10/21/1990,31,https://www.basketball-reference.com/req/202106291/images/players/rubiori01.jpg
russeda01,D'Angelo Russell,2016,2022,G,6-4,193.0,2/23/1996,25,https://www.basketball-reference.com/req/202106291/images/players/russeda01.jpg
sabondo01,Domantas Sabonis,2017,2022,F-C,6-11,240.0,5/3/1996,25,https://www.basketball-reference.com/req/202106291/images/players/sabondo01.jpg
samanlu01,Luka Šamanić,2020,2021,F,6-10,227.0,1/9/2000,21,https://www.basketball-reference.com/req/202106291/images/players/samanlu01.jpg
sampsja02,JaKarr Sampson,2015,2021,G-F,6-7,214.0,3/20/1993,28,https://www.basketball-reference.com/req/202106291/images/players/sampsja02.jpg
saricda01,Dario Šarić,2017,2021,F-C,6-10,225.0,4/8/1994,27,https://www.basketball-reference.com/req/202106291/images/players/saricda01.jpg
satorto01,Tomáš Satoranský,2017,2022,G,6-7,210.0,10/30/1991,30,https://www.basketball-reference.com/req/202106291/images/players/satorto01.jpg
schofad01,Admiral Schofield,2020,2020,G-F,6-5,241.0,3/30/1997,24,https://www.basketball-reference.com/req/202106291/images/players/schofad01.jpg
schrode01,Dennis Schröder,2014,2022,G,6-3,172.0,9/15/1993,28,https://www.basketball-reference.com/req/202106291/images/players/schrode01.jpg
scottmi01,Mike Scott,2013,2021,F,6-7,237.0,7/16/1988,33,https://www.basketball-reference.com/req/202106291/images/players/scottmi01.jpg
sefolth01,Thabo Sefolosha,2007,2020,G-F,6-6,215.0,5/2/1984,37,https://www.basketball-reference.com/req/202106291/images/players/sefolth01.jpg
sextoco01,Collin Sexton,2019,2022,G,6-1,190.0,1/4/1999,22,https://www.basketball-reference.com/req/202106291/images/players/sextoco01.jpg
shamela01,Landry Shamet,2019,2022,G,6-4,190.0,3/13/1997,24,https://www.basketball-reference.com/req/202106291/images/players/shamela01.jpg
shayoma01,Marial Shayok,2020,2020,G,6-5,198.0,7/26/1995,26,https://www.basketball-reference.com/req/202106291/images/players/shayoma01.jpg
shumpim01,Iman Shumpert,2012,2021,G,6-5,215.0,6/26/1990,31,https://www.basketball-reference.com/req/202106291/images/players/shumpim01.jpg
siakapa01,Pascal Siakam,2017,2022,F,6-9,230.0,4/2/1994,27,https://www.basketball-reference.com/req/202106291/images/players/siakapa01.jpg
silvach01,Chris Silva,2020,2021,F,6-8,234.0,9/19/1996,25,https://www.basketball-reference.com/req/202106291/images/players/silvach01.jpg
simmobe01,Ben Simmons,2018,2021,G-F,6-11,240.0,7/20/1996,25,https://www.basketball-reference.com/req/202106291/images/players/simmobe01.jpg
simonan01,Anfernee Simons,2019,2022,G,6-3,181.0,6/8/1999,22,https://www.basketball-reference.com/req/202106291/images/players/simonan01.jpg
smailal01,Alen Smailagić,2020,2021,F,6-10,215.0,8/18/2000,21,https://www.basketball-reference.com/req/202106291/images/players/smailal01.jpg
smartma01,Marcus Smart,2015,2022,G,6-3,220.0,3/6/1994,27,https://www.basketball-reference.com/req/202106291/images/players/smartma01.jpg
smithde03,Dennis Smith,2018,2022,G,6-2,205.0,11/25/1997,24,https://www.basketball-reference.com/req/202106291/images/players/smithde03.jpg
smithis01,Ish Smith,2011,2022,G,6-0,175.0,7/5/1988,33,https://www.basketball-reference.com/req/202106291/images/players/smithis01.jpg
smithjr01,J.R. Smith,2005,2020,G-F,6-6,225.0,9/9/1985,36,https://www.basketball-reference.com/req/202106291/images/players/smithjr01.jpg
smithzh01,Zhaire Smith,2019,2020,G,6-3,205.0,6/4/1999,22,https://www.basketball-reference.com/req/202106291/images/players/smithzh01.jpg
snellto01,Tony Snell,2014,2022,G-F,6-6,213.0,11/10/1991,30,https://www.basketball-reference.com/req/202106291/images/players/snellto01.jpg
spellom01,Omari Spellman,2019,2020,F,6-8,245.0,7/21/1997,24,https://www.basketball-reference.com/req/202106291/images/players/spellom01.jpg
strusma01,Max Strus,2020,2022,G,6-5,215.0,3/28/1996,25,https://www.basketball-reference.com/req/202106291/images/players/strusma01.jpg
sumneed01,Edmond Sumner,2018,2021,G,6-4,196.0,12/31/1995,25,https://www.basketball-reference.com/req/202106291/images/players/sumneed01.jpg
swanica01,Caleb Swanigan,2018,2020,F,6-9,260.0,4/18/1997,24,https://www.basketball-reference.com/req/202106291/images/players/swanica01.jpg
tatumja01,Jayson Tatum,2018,2022,F,6-8,210.0,3/3/1998,23,https://www.basketball-reference.com/req/202106291/images/players/tatumja01.jpg
teaguje01,Jeff Teague,2010,2021,G,6-3,195.0,6/10/1988,33,https://www.basketball-reference.com/req/202106291/images/players/teaguje01.jpg
templga01,Garrett Temple,2010,2022,G,6-5,195.0,5/8/1986,35,https://www.basketball-reference.com/req/202106291/images/players/templga01.jpg
theisda01,Daniel Theis,2018,2022,C,6-8,245.0,4/4/1992,29,https://www.basketball-reference.com/req/202106291/images/players/theisda01.jpg
thomais02,Isaiah Thomas,2012,2021,G,5-9,185.0,2/7/1989,32,https://www.basketball-reference.com/req/202106291/images/players/thomais02.jpg
thomakh01,Khyri Thomas,2019,2021,G,6-3,210.0,5/8/1996,25,https://www.basketball-reference.com/req/202106291/images/players/thomakh01.jpg
thomala01,Lance Thomas,2012,2020,F,6-8,240.0,4/24/1988,33,https://www.basketball-reference.com/req/202106291/images/players/thomala01.jpg
thomama02,Matt Thomas,2020,2022,G,6-4,190.0,8/4/1994,27,https://www.basketball-reference.com/req/202106291/images/players/thomama02.jpg
thomptr01,Tristan Thompson,2012,2022,F-C,6-9,254.0,3/13/1991,30,https://www.basketball-reference.com/req/202106291/images/players/thomptr01.jpg
thornsi01,Sindarius Thornwell,2018,2021,G,6-4,215.0,11/15/1994,27,https://www.basketball-reference.com/req/202106291/images/players/thornsi01.jpg
thybuma01,Matisse Thybulle,2020,2022,G,6-5,201.0,3/4/1997,24,https://www.basketball-reference.com/req/202106291/images/players/thybuma01.jpg
tollian01,Anthony Tolliver,2009,2021,F-C,6-8,240.0,6/1/1985,36,https://www.basketball-reference.com/req/202106291/images/players/tollian01.jpg
toscaju01,Juan Toscano-Anderson,2020,2022,F,6-6,209.0,4/10/1993,28,https://www.basketball-reference.com/req/202106291/images/players/toscaju01.jpg
townska01,Karl-Anthony Towns,2016,2022,C-F,6-11,248.0,11/15/1995,26,https://www.basketball-reference.com/req/202106291/images/players/townska01.jpg
trentga02,Gary Trent,2019,2022,G,6-5,209.0,1/18/1999,22,https://www.basketball-reference.com/req/202106291/images/players/trentga02.jpg
trieral01,Allonzo Trier,2019,2020,G,6-4,200.0,1/17/1996,25,https://www.basketball-reference.com/req/202106291/images/players/trieral01.jpg
tuckepj01,P.J. Tucker,2007,2022,F,6-5,245.0,5/5/1985,36,https://www.basketball-reference.com/req/202106291/images/players/tuckepj01.jpg
tuckera01,Rayjon Tucker,2020,2021,F,6-3,209.0,9/24/1997,24,https://www.basketball-reference.com/req/202106291/images/players/tuckera01.jpg
turneev01,Evan Turner,2011,2020,G,6-6,220.0,10/27/1988,33,https://www.basketball-reference.com/req/202106291/images/players/turneev01.jpg
turnemy01,Myles Turner,2016,2022,C-F,6-11,250.0,3/24/1996,25,https://www.basketball-reference.com/req/202106291/images/players/turnemy01.jpg
uthofja01,Jarrod Uthoff,2017,2020,F,6-9,221.0,5/19/1993,28,https://www.basketball-reference.com/req/202106291/images/players/uthofja01.jpg
valanjo01,Jonas Valančiūnas,2013,2022,C,6-11,265.0,5/6/1992,29,https://www.basketball-reference.com/req/202106291/images/players/valanjo01.jpg
valende01,Denzel Valentine,2017,2022,G,6-4,220.0,11/16/1993,28,https://www.basketball-reference.com/req/202106291/images/players/valende01.jpg
vanvlfr01,Fred VanVleet,2017,2022,G,6-1,197.0,2/25/1994,27,https://www.basketball-reference.com/req/202106291/images/players/vanvlfr01.jpg
vandeja01,Jarred Vanderbilt,2019,2022,F,6-9,214.0,4/3/1999,22,https://www.basketball-reference.com/req/202106291/images/players/vandeja01.jpg
vincega01,Gabe Vincent,2020,2022,G,6-3,200.0,6/14/1996,25,https://www.basketball-reference.com/req/202106291/images/players/vincega01.jpg
vonleno01,Noah Vonleh,2015,2021,F,6-10,257.0,8/24/1995,26,https://www.basketball-reference.com/req/202106291/images/players/vonleno01.jpg
vucevni01,Nikola Vučević,2012,2022,C,6-10,260.0,10/24/1990,31,https://www.basketball-reference.com/req/202106291/images/players/vucevni01.jpg
wadede01,Dean Wade,2020,2022,F,6-9,228.0,11/20/1996,25,https://www.basketball-reference.com/req/202106291/images/players/wadede01.jpg
wagnemo01,Moritz Wagner,2019,2022,F-C,6-11,245.0,4/26/1997,24,https://www.basketball-reference.com/req/202106291/images/players/wagnemo01.jpg
waitedi01,Dion Waiters,2013,2020,G,6-3,215.0,12/10/1991,29,https://www.basketball-reference.com/req/202106291/images/players/waitedi01.jpg
walkeke02,Kemba Walker,2012,2022,G,6-0,184.0,5/8/1990,31,https://www.basketball-reference.com/req/202106291/images/players/walkeke02.jpg
walkelo01,Lonnie Walker,2019,2022,G,6-4,204.0,12/14/1998,22,https://www.basketball-reference.com/req/202106291/images/players/walkelo01.jpg
wallaty01,Tyrone Wallace,2018,2020,G,6-5,198.0,6/10/1994,27,https://www.basketball-reference.com/req/202106291/images/players/wallaty01.jpg
waltode01,Derrick Walton,2018,2020,G,6-0,189.0,4/3/1995,26,https://www.basketball-reference.com/req/202106291/images/players/waltode01.jpg
wanambr01,Brad Wanamaker,2019,2022,G,6-3,210.0,7/25/1989,32,https://www.basketball-reference.com/req/202106291/images/players/wanambr01.jpg
warretj01,T.J. Warren,2015,2021,F,6-8,220.0,9/5/1993,28,https://www.basketball-reference.com/req/202106291/images/players/warretj01.jpg
washipj01,P.J. Washington,2020,2022,F,6-7,230.0,8/23/1998,23,https://www.basketball-reference.com/req/202106291/images/players/washipj01.jpg
watanyu01,Yuta Watanabe,2019,2021,F,6-9,215.0,10/13/1994,27,https://www.basketball-reference.com/req/202106291/images/players/watanyu01.jpg
watertr01,Tremont Waters,2020,2021,G,5-10,175.0,1/10/1998,23,https://www.basketball-reference.com/req/202106291/images/players/watertr01.jpg
watsopa01,Paul Watson,2020,2021,G,6-6,210.0,12/30/1994,26,https://www.basketball-reference.com/req/202106291/images/players/watsopa01.jpg
weathqu01,Quinndary Weatherspoon,2020,2021,G,6-3,205.0,9/10/1996,25,https://www.basketball-reference.com/req/202106291/images/players/weathqu01.jpg
westbru01,Russell Westbrook,2009,2022,G,6-3,200.0,11/12/1988,33,https://www.basketball-reference.com/req/202106291/images/players/westbru01.jpg
whiteco01,Coby White,2020,2022,G,6-5,195.0,2/16/2000,21,https://www.basketball-reference.com/req/202106291/images/players/whiteco01.jpg
whitede01,Derrick White,2018,2022,G,6-4,190.0,7/2/1994,27,https://www.basketball-reference.com/req/202106291/images/players/whitede01.jpg
whiteha01,Hassan Whiteside,2011,2022,C,7-0,265.0,6/13/1989,32,https://www.basketball-reference.com/req/202106291/images/players/whiteha01.jpg
wiggian01,Andrew Wiggins,2015,2022,F-G,6-7,197.0,2/23/1995,26,https://www.basketball-reference.com/req/202106291/images/players/wiggian01.jpg
willigr01,Grant Williams,2020,2022,F,6-6,236.0,11/30/1998,23,https://www.basketball-reference.com/req/202106291/images/players/willigr01.jpg
willijo04,Johnathan Williams,2019,2020,F,6-9,228.0,5/22/1995,26,https://www.basketball-reference.com/req/202106291/images/players/willijo04.jpg
willike04,Kenrich Williams,2019,2022,G-F,6-6,210.0,12/2/1994,27,https://www.basketball-reference.com/req/202106291/images/players/willike04.jpg
willilo02,Lou Williams,2006,2022,G,6-1,175.0,10/27/1986,35,https://www.basketball-reference.com/req/202106291/images/players/willilo02.jpg
willima02,Marvin Williams,2006,2020,F,6-8,237.0,6/19/1986,35,https://www.basketball-reference.com/req/202106291/images/players/willima02.jpg
williro04,Robert Williams,2019,2022,C-F,6-8,237.0,10/17/1997,24,https://www.basketball-reference.com/req/202106291/images/players/williro04.jpg
willini01,Nigel Williams-Goss,2020,2020,G,6-2,190.0,9/16/1994,27,https://www.basketball-reference.com/req/202106291/images/players/willini01.jpg
willizi01,Zion Williamson,2020,2021,F-C,6-6,284.0,7/6/2000,21,https://www.basketball-reference.com/req/202106291/images/players/willizi01.jpg
wilsodj01,D.J. Wilson,2018,2021,F,6-10,231.0,2/19/1996,25,https://www.basketball-reference.com/req/202106291/images/players/wilsodj01.jpg
winslju01,Justise Winslow,2016,2022,F,6-6,222.0,3/26/1996,25,https://www.basketball-reference.com/req/202106291/images/players/winslju01.jpg
woodch01,Christian Wood,2016,2022,F,6-10,214.0,9/27/1995,26,https://www.basketball-reference.com/req/202106291/images/players/woodch01.jpg
wrighde01,Delon Wright,2016,2022,G,6-5,185.0,4/26/1992,29,https://www.basketball-reference.com/req/202106291/images/players/wrighde01.jpg
wrighju02,Justin Wright-Foreman,2020,2020,G,6-0,190.0,10/27/1997,24,https://www.basketball-reference.com/req/202106291/images/players/wrighju02.jpg
youngth01,Thaddeus Young,2008,2022,F,6-8,235.0,6/21/1988,33,https://www.basketball-reference.com/req/202106291/images/players/youngth01.jpg
youngtr01,Trae Young,2019,2022,G,6-1,180.0,9/19/1998,23,https://www.basketball-reference.com/req/202106291/images/players/youngtr01.jpg
zelleco01,Cody Zeller,2014,2022,C-F,6-11,240.0,10/5/1992,29,https://www.basketball-reference.com/req/202106291/images/players/zelleco01.jpg
zellety01,Tyler Zeller,2013,2020,F-C,7-0,253.0,1/17/1990,31,https://www.basketball-reference.com/req/202106291/images/players/zellety01.jpg
zizican01,Ante Žižić,2018,2020,F-C,6-10,266.0,1/4/1997,24,https://www.basketball-reference.com/req/202106291/images/players/zizican01.jpg
zubaciv01,Ivica Zubac,2017,2022,C,7-0,240.0,3/18/1997,24,https://www.basketball-reference.com/req/202106291/images/players/zubaciv01.jpg
